phase	registered_call_order	slot_id	block_id	condition	group_index	planned_position	sample_order_within_cell	prompt_path	prompt_sha256	submission_template_path	attempt_status	actual_artifact	planned_systematic_audit_position
main	1	main-P01-A-G1	P01	A	1	1	1	main/prompt-P01-A.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-A-G1.json	not_attempted	none	true
main	1	main-P01-A-G1	P01	A	1	2	2	main/prompt-P01-A.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-A-G1.json	not_attempted	none	false
main	1	main-P01-A-G1	P01	A	1	3	3	main/prompt-P01-A.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-A-G1.json	not_attempted	none	false
main	1	main-P01-A-G1	P01	A	1	4	4	main/prompt-P01-A.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-A-G1.json	not_attempted	none	false
main	1	main-P01-A-G1	P01	A	1	5	5	main/prompt-P01-A.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-A-G1.json	not_attempted	none	false
main	2	main-P01-B-G1	P01	B	1	1	1	main/prompt-P01-B.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-B-G1.json	not_attempted	none	false
main	2	main-P01-B-G1	P01	B	1	2	2	main/prompt-P01-B.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-B-G1.json	not_attempted	none	true
main	2	main-P01-B-G1	P01	B	1	3	3	main/prompt-P01-B.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-B-G1.json	not_attempted	none	false
main	2	main-P01-B-G1	P01	B	1	4	4	main/prompt-P01-B.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-B-G1.json	not_attempted	none	false
main	2	main-P01-B-G1	P01	B	1	5	5	main/prompt-P01-B.txt	005ad5a432d4e0867b60c43d4bd73279fe2c9e13aa441d82a7100036074ef081	main/submission-main-P01-B-G1.json	not_attempted	none	false
main	3	main-P01-C-G1	P01	C	1	1	1	main/prompt-P01-C.txt	13fc0cdcd7244d6ab63204d37821b44a06029be9dfaf823903cc77ceebda17c8	main/submission-main-P01-C-G1.json	not_attempted	none	false
main	3	main-P01-C-G1	P01	C	1	2	2	main/prompt-P01-C.txt	13fc0cdcd7244d6ab63204d37821b44a06029be9dfaf823903cc77ceebda17c8	main/submission-main-P01-C-G1.json	not_attempted	none	false
main	3	main-P01-C-G1	P01	C	1	3	3	main/prompt-P01-C.txt	13fc0cdcd7244d6ab63204d37821b44a06029be9dfaf823903cc77ceebda17c8	main/submission-main-P01-C-G1.json	not_attempted	none	true
main	3	main-P01-C-G1	P01	C	1	4	4	main/prompt-P01-C.txt	13fc0cdcd7244d6ab63204d37821b44a06029be9dfaf823903cc77ceebda17c8	main/submission-main-P01-C-G1.json	not_attempted	none	false
main	3	main-P01-C-G1	P01	C	1	5	5	main/prompt-P01-C.txt	13fc0cdcd7244d6ab63204d37821b44a06029be9dfaf823903cc77ceebda17c8	main/submission-main-P01-C-G1.json	not_attempted	none	false
main	4	main-P02-A-G1	P02	A	1	1	1	main/prompt-P02-A.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-A-G1.json	not_attempted	none	false
main	4	main-P02-A-G1	P02	A	1	2	2	main/prompt-P02-A.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-A-G1.json	not_attempted	none	true
main	4	main-P02-A-G1	P02	A	1	3	3	main/prompt-P02-A.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-A-G1.json	not_attempted	none	false
main	4	main-P02-A-G1	P02	A	1	4	4	main/prompt-P02-A.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-A-G1.json	not_attempted	none	false
main	4	main-P02-A-G1	P02	A	1	5	5	main/prompt-P02-A.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-A-G1.json	not_attempted	none	false
main	5	main-P02-C-G1	P02	C	1	1	1	main/prompt-P02-C.txt	4145b82acf563aca9970a39289eb90c4f886d980585b322231b3b1f3de34fe40	main/submission-main-P02-C-G1.json	not_attempted	none	false
main	5	main-P02-C-G1	P02	C	1	2	2	main/prompt-P02-C.txt	4145b82acf563aca9970a39289eb90c4f886d980585b322231b3b1f3de34fe40	main/submission-main-P02-C-G1.json	not_attempted	none	false
main	5	main-P02-C-G1	P02	C	1	3	3	main/prompt-P02-C.txt	4145b82acf563aca9970a39289eb90c4f886d980585b322231b3b1f3de34fe40	main/submission-main-P02-C-G1.json	not_attempted	none	false
main	5	main-P02-C-G1	P02	C	1	4	4	main/prompt-P02-C.txt	4145b82acf563aca9970a39289eb90c4f886d980585b322231b3b1f3de34fe40	main/submission-main-P02-C-G1.json	not_attempted	none	true
main	5	main-P02-C-G1	P02	C	1	5	5	main/prompt-P02-C.txt	4145b82acf563aca9970a39289eb90c4f886d980585b322231b3b1f3de34fe40	main/submission-main-P02-C-G1.json	not_attempted	none	false
main	6	main-P02-B-G1	P02	B	1	1	1	main/prompt-P02-B.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-B-G1.json	not_attempted	none	false
main	6	main-P02-B-G1	P02	B	1	2	2	main/prompt-P02-B.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-B-G1.json	not_attempted	none	false
main	6	main-P02-B-G1	P02	B	1	3	3	main/prompt-P02-B.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-B-G1.json	not_attempted	none	true
main	6	main-P02-B-G1	P02	B	1	4	4	main/prompt-P02-B.txt	d7a0f87b417adab26225613fa1646656d20bf0bcf3c2a8bdedc6defe906c245f	main/submission-main-P02-B-G1.json	not_attempted	none	false
